epoch,accuracy,loss,val_accuracy,val_loss
0,0.5595238208770752,0.673741340637207,0.7222222089767456,0.5884190797805786
1,0.6631944179534912,0.6221345067024231,0.7731481194496155,0.6197392344474792
2,0.788690447807312,0.5266483426094055,0.7453703880310059,0.6240411400794983
3,0.814980149269104,0.46835634112358093,0.8703703880310059,0.3858201503753662
4,0.8452380895614624,0.42868858575820923,0.8564814925193787,0.3872062563896179
5,0.8645833134651184,0.46170562505722046,0.8888888955116272,0.4032510221004486
6,0.8715277910232544,0.5096367597579956,0.8842592835426331,0.5571129322052002
7,0.8616071343421936,0.7187483310699463,0.8703703880310059,0.5638421773910522
8,0.863095223903656,0.7983282804489136,0.8703703880310059,0.5867516994476318
9,0.879960298538208,1.0413833856582642,0.8333333134651184,0.9681488275527954
10,0.8829365372657776,1.3335962295532227,0.8888888955116272,1.1248903274536133
11,0.889384925365448,1.9005988836288452,0.8472222089767456,1.4506585597991943
12,0.85317462682724,3.691906690597534,0.7222222089767456,0.9967551827430725
13,0.8164682388305664,1.565794825553894,0.8657407164573669,2.5497965812683105
14,0.8735119104385376,3.0203757286071777,0.8472222089767456,4.167379856109619
15,0.8789682388305664,6.281394004821777,0.8564814925193787,4.437011241912842
16,0.8864087462425232,7.225473403930664,0.8564814925193787,4.696957111358643
17,0.8834325671195984,7.325259208679199,0.8472222089767456,12.473978996276855
18,0.8928571343421936,9.47805404663086,0.8101851940155029,10.332294464111328
19,0.8784722089767456,10.745465278625488,0.8379629850387573,13.970794677734375
