epoch,accuracy,loss,val_accuracy,val_loss
0,0.526289701461792,0.6973583698272705,0.5260416865348816,0.6909046173095703
1,0.5297619104385376,0.7025364637374878,0.515625,0.689333438873291
2,0.5560516119003296,0.6864262223243713,0.6041666865348816,0.6748281121253967
3,0.6185516119003296,0.6494449973106384,0.71875,0.5922046899795532
4,0.7316468358039856,0.5627044439315796,0.75,0.474235862493515
5,0.7921627163887024,0.48227396607398987,0.7708333134651184,0.4614490270614624
6,0.8105158805847168,0.4576408565044403,0.78125,0.48406875133514404
7,0.82192462682724,0.4272902309894562,0.8020833134651184,0.5048103332519531
8,0.8323412537574768,0.40778347849845886,0.8072916865348816,0.42900410294532776
9,0.8422619104385376,0.3895050287246704,0.828125,0.4239930808544159
10,0.8501983880996704,0.3854961097240448,0.84375,0.39533481001853943
