epoch,accuracy,loss,val_accuracy,val_loss
0,0.5971014499664307,0.8304100036621094,0.592391312122345,0.8247047066688538
1,0.6608695387840271,0.7618942260742188,0.6902173757553101,0.7409137487411499
2,0.7018116116523743,0.716236412525177,0.6630434989929199,0.7817060351371765
3,0.7119565010070801,0.6855416297912598,0.695652186870575,0.76689612865448
4,0.709782600402832,0.662696123123169,0.6847826242446899,0.7410033941268921
5,0.7351449131965637,0.6198654174804688,0.72826087474823,0.7125047445297241
6,0.7565217614173889,0.5960881114006042,0.72826087474823,0.7078785300254822
7,0.7615941762924194,0.5791215300559998,0.7336956262588501,0.6701804399490356
8,0.770652174949646,0.5610426068305969,0.6739130616188049,0.7113460302352905
9,0.7757246494293213,0.5539349317550659,0.7119565010070801,0.6586952209472656
10,0.780434787273407,0.5441014170646667,0.7445651888847351,0.6510621309280396
11,0.7981883883476257,0.5107433199882507,0.7663043737411499,0.594230055809021
12,0.7894927263259888,0.5118743181228638,0.72826087474823,0.6443146467208862
13,0.7978261113166809,0.5090471506118774,0.760869562625885,0.635258674621582
14,0.7967391014099121,0.5040464401245117,0.75,0.5792601704597473
15,0.8086956739425659,0.479785680770874,0.7880434989929199,0.5672039985656738
16,0.803260862827301,0.48710569739341736,0.77173912525177,0.5360001921653748
17,0.8112319111824036,0.47306057810783386,0.75,0.6555464863777161
18,0.8090579509735107,0.4677063822746277,0.760869562625885,0.589099645614624
19,0.8188405632972717,0.4467010498046875,0.782608687877655,0.6019644141197205
20,0.8260869383811951,0.43487730622291565,0.760869562625885,0.608649730682373
21,0.842391312122345,0.41791045665740967,0.7663043737411499,0.7061254978179932
22,0.8449275493621826,0.41133740544319153,0.7663043737411499,0.6147506237030029
23,0.8518115878105164,0.40106335282325745,0.7554348111152649,0.6133500933647156
