Filename,Actual Class,Predicted Class,Confidence
ls01_20230511_104500_s_17.wav,KeinStille,KeinStille,0.9756062626838684
ls01_20230512_064500_s_17.wav,KeinStille,KeinStille,0.9988216757774353
ls01_20230513_000000_s_44.wav,KeinStille,KeinStille,0.9292299747467041
ls01_20230513_050000_s_56.wav,KeinStille,KeinStille,0.9999939203262329
ls01_20230513_073000_s_30.wav,KeinStille,KeinStille,0.9978024363517761
ls01_20230513_140000_s_17.wav,KeinStille,KeinStille,0.9973852038383484
ls01_20230513_170000_s_0.wav,KeinStille,KeinStille,0.9843689203262329
ls01_20230514_010000_s_5.wav,KeinStille,KeinStille,0.6807876229286194
ls01_20230515_003000_s_37.wav,KeinStille,KeinStille,0.9628090858459473
ls01_20230515_061500_s_53.wav,KeinStille,KeinStille,0.9996975660324097
ls01_20230517_033000_s_11.wav,KeinStille,KeinStille,0.9030841588973999
ls01_20230517_071500_s_14.wav,KeinStille,KeinStille,0.9753879904747009
ls01_20230517_080000_s_24.wav,KeinStille,KeinStille,0.9996984004974365
ls01_20230517_104500_s_23.wav,KeinStille,KeinStille,0.9991011619567871
ls01_20230517_111500_s_37.wav,KeinStille,KeinStille,0.9882716536521912
ls01_20230517_121500_s_21.wav,KeinStille,KeinStille,0.9325876235961914
ls01_20230517_180000_s_8.wav,KeinStille,KeinStille,0.9999997615814209
ls01_20230518_061500_s_6.wav,KeinStille,KeinStille,0.9989036321640015
ls01_20230518_103000_s_7.wav,KeinStille,KeinStille,0.9976397752761841
ls01_20230518_110000_s_53.wav,KeinStille,KeinStille,0.9984586238861084
ls01_20230518_124500_s_13.wav,KeinStille,KeinStille,0.9967532753944397
ls01_20230518_141500_s_16.wav,KeinStille,KeinStille,0.9947629570960999
ls01_20230518_141500_s_20.wav,KeinStille,KeinStille,0.9915069937705994
ls01_20230519_013000_s_31.wav,KeinStille,KeinStille,0.9564666748046875
ls01_20230519_041500_s_48.wav,KeinStille,KeinStille,0.7720403671264648
ls01_20230521_071500_s_5.wav,KeinStille,KeinStille,0.9980831146240234
ls01_20230522_084500_s_6.wav,KeinStille,KeinStille,0.9078769683837891
