Actual Class,Predicted Class,Confidence
laerm,laerm,0.9920033812522888
laerm,vogel,0.9681862592697144
laerm,laerm,0.9937741756439209
laerm,laerm,0.9942063093185425
laerm,laerm,0.9014843702316284
laerm,laerm,0.9893942475318909
laerm,laerm,0.9540792107582092
laerm,laerm,0.9832921624183655
laerm,vogel,0.3764839470386505
laerm,laerm,0.9823638200759888
laerm,laerm,0.99381023645401
laerm,stille,0.742880642414093
laerm,laerm,0.9732157588005066
laerm,laerm,0.8339107632637024
laerm,laerm,0.7616270780563354
laerm,stille,0.9857213497161865
laerm,laerm,0.9990574717521667
laerm,laerm,0.9982811212539673
laerm,laerm,0.9924771189689636
laerm,laerm,0.9976128339767456
laerm,vogel,0.8738126754760742
laerm,vogel,0.9997296929359436
laerm,laerm,0.9868046045303345
laerm,laerm,0.9925191402435303
laerm,laerm,0.9010143876075745
laerm,laerm,0.4807891845703125
laerm,laerm,0.961081862449646
laerm,laerm,0.9958851933479309
laerm,laerm,0.9346781969070435
laerm,laerm,0.9981971383094788
laerm,laerm,0.9823236465454102
laerm,laerm,0.9973737001419067
laerm,stille,0.48239633440971375
laerm,vogel,0.5840586423873901
laerm,laerm,0.9986109733581543
laerm,laerm,0.9973447918891907
laerm,laerm,0.8557748198509216
laerm,laerm,0.9998134970664978
laerm,laerm,0.9686557054519653
laerm,laerm,0.5565382242202759
laerm,laerm,0.9959465861320496
laerm,laerm,0.9970916509628296
laerm,laerm,0.996536135673523
laerm,laerm,0.9696923494338989
laerm,laerm,0.9913290739059448
laerm,laerm,0.9657689332962036
laerm,laerm,0.9879222512245178
laerm,laerm,0.9945698380470276
laerm,laerm,0.9970414042472839
laerm,vogel,0.48923537135124207
laerm,laerm,0.9985766410827637
laerm,laerm,0.9942889213562012
laerm,laerm,0.9681416749954224
laerm,laerm,0.9992293119430542
laerm,laerm,0.9958338737487793
laerm,laerm,0.9883984923362732
laerm,laerm,0.9799779057502747
laerm,laerm,0.9942688941955566
laerm,laerm,0.9972397089004517
laerm,vogel,0.7425647377967834
laerm,laerm,0.8663883805274963
laerm,laerm,0.9878419637680054
laerm,laerm,0.9894706010818481
laerm,laerm,0.9955846667289734
laerm,laerm,0.9143763184547424
laerm,laerm,0.8548222780227661
laerm,laerm,0.9368879199028015
laerm,stille,0.8661689162254333
laerm,laerm,0.9978753328323364
laerm,laerm,0.9913759827613831
laerm,laerm,0.9919047355651855
laerm,laerm,0.5442121028900146
laerm,laerm,0.9900867342948914
laerm,laerm,0.9963889122009277
laerm,laerm,0.9963435530662537
laerm,laerm,0.9478476643562317
laerm,laerm,0.9962742328643799
laerm,laerm,0.9755606651306152
laerm,laerm,0.8308839201927185
laerm,laerm,0.9913240671157837
laerm,laerm,0.9957067370414734
laerm,laerm,0.9157330989837646
laerm,laerm,0.9992874264717102
laerm,laerm,0.9920976161956787
laerm,laerm,0.9238040447235107
laerm,laerm,0.9996511936187744
laerm,laerm,0.9975941777229309
laerm,laerm,0.944542646408081
laerm,laerm,0.9861517548561096
laerm,laerm,0.9763619303703308
laerm,laerm,0.99716717004776
laerm,laerm,0.9954262375831604
laerm,laerm,0.9898282289505005
laerm,laerm,0.9889286160469055
laerm,laerm,0.9952870607376099
laerm,laerm,0.9959204196929932
laerm,laerm,0.996636152267456
laerm,laerm,0.9947757720947266
laerm,laerm,0.9765697121620178
laerm,laerm,0.993740439414978
laerm,laerm,0.9923381805419922
laerm,laerm,0.9933579564094543
laerm,laerm,0.9996500015258789
laerm,laerm,0.9988597631454468
laerm,laerm,0.9932410717010498
laerm,laerm,0.9961198568344116
laerm,laerm,0.9831551313400269
laerm,laerm,0.9947848916053772
laerm,laerm,0.990595817565918
