epoch,accuracy,loss,val_accuracy,val_loss
0,0.6363636255264282,0.6545937061309814,0.6484375,0.6482701897621155
1,0.6516335010528564,0.6441158652305603,0.640625,0.6396009922027588
2,0.7183948755264282,0.5810438394546509,0.76171875,0.5099664330482483
3,0.8213778138160706,0.43823954463005066,0.81640625,0.4261336028575897
4,0.8462358117103577,0.3854978680610657,0.8359375,0.40427112579345703
5,0.8643465638160706,0.3594227731227875,0.84375,0.3895941972732544
6,0.8664772510528564,0.3494686782360077,0.86328125,0.3721461892127991
7,0.87890625,0.3184373676776886,0.84375,0.3756330609321594
8,0.8874289989471436,0.31056147813796997,0.8515625,0.3736245036125183
9,0.88671875,0.30289003252983093,0.859375,0.3543844223022461
10,0.89453125,0.28858682513237,0.87109375,0.3341428339481354
11,0.8998579382896423,0.276446133852005,0.8671875,0.33830833435058594
12,0.8995028138160706,0.2759383022785187,0.8828125,0.310834676027298
13,0.9066051244735718,0.2603691816329956,0.88671875,0.32123810052871704
14,0.9129971861839294,0.2616431415081024,0.8671875,0.35291576385498047
15,0.91015625,0.2588108777999878,0.88671875,0.31818318367004395
16,0.9105113744735718,0.25945040583610535,0.8828125,0.336500883102417
17,0.9169034361839294,0.24484549462795258,0.8828125,0.3097701668739319
18,0.9200994372367859,0.22910675406455994,0.875,0.3349114656448364
19,0.9268465638160706,0.22476540505886078,0.8828125,0.3336506187915802
20,0.9303977489471436,0.21500258147716522,0.8671875,0.33314967155456543
21,0.9353693127632141,0.20400162041187286,0.875,0.3231573700904846
22,0.9346590638160706,0.19816790521144867,0.88671875,0.32756543159484863
23,0.9328835010528564,0.19787225127220154,0.87890625,0.3524295687675476
24,0.9428266882896423,0.17894750833511353,0.87890625,0.3046969771385193
25,0.9417613744735718,0.17324993014335632,0.859375,0.3443072438240051
26,0.9382102489471436,0.1893194615840912,0.890625,0.30428576469421387
27,0.9453125,0.17640210688114166,0.88671875,0.31995144486427307
28,0.9527698755264282,0.152344211935997,0.859375,0.37199121713638306
29,0.9534801244735718,0.1506883203983307,0.859375,0.34631437063217163
