Actual Class,Predicted Class,Confidence
laerm,vogel,0.4528035521507263
laerm,stille,0.4276112914085388
laerm,laerm,0.7090402245521545
laerm,laerm,0.6411349177360535
laerm,laerm,0.5795416235923767
laerm,laerm,0.5837878584861755
laerm,laerm,0.6013040542602539
laerm,laerm,0.7833561301231384
laerm,laerm,0.6465631127357483
laerm,laerm,0.6154488921165466
laerm,laerm,0.6284084916114807
laerm,laerm,0.664147138595581
laerm,laerm,0.6879557967185974
laerm,laerm,0.7521752119064331
laerm,laerm,0.4641895592212677
laerm,laerm,0.6446309089660645
laerm,laerm,0.5492285490036011
laerm,laerm,0.7159104943275452
laerm,laerm,0.7016128301620483
laerm,laerm,0.49750688672065735
laerm,laerm,0.5853613615036011
laerm,laerm,0.7434403300285339
laerm,laerm,0.6972404718399048
laerm,laerm,0.6652445793151855
laerm,laerm,0.4908338785171509
laerm,laerm,0.5792027711868286
laerm,laerm,0.5357286930084229
laerm,laerm,0.5718128681182861
laerm,natur,0.36290642619132996
laerm,laerm,0.5935660004615784
laerm,laerm,0.49072808027267456
laerm,vogel,0.29371392726898193
laerm,laerm,0.6356509327888489
laerm,laerm,0.5698282718658447
laerm,laerm,0.6252477765083313
laerm,laerm,0.6606938242912292
laerm,laerm,0.6607769131660461
laerm,laerm,0.5814321041107178
laerm,laerm,0.5831426978111267
laerm,laerm,0.7088413238525391
laerm,laerm,0.465934693813324
laerm,laerm,0.3602740466594696
laerm,laerm,0.6069067716598511
laerm,laerm,0.5990157127380371
laerm,laerm,0.6164854168891907
laerm,laerm,0.7254557013511658
laerm,laerm,0.5368561148643494
laerm,laerm,0.582928478717804
laerm,laerm,0.7460974454879761
laerm,laerm,0.44884538650512695
laerm,laerm,0.800913393497467
laerm,laerm,0.6643127799034119
laerm,laerm,0.620159387588501
laerm,laerm,0.6751831769943237
laerm,laerm,0.7209644317626953
laerm,laerm,0.6827382445335388
laerm,laerm,0.5386004447937012
laerm,laerm,0.7506910562515259
laerm,laerm,0.6683937311172485
laerm,laerm,0.5135546922683716
laerm,laerm,0.5125008821487427
laerm,laerm,0.5657467842102051
laerm,laerm,0.32622650265693665
laerm,laerm,0.6225900650024414
laerm,laerm,0.6112771034240723
laerm,laerm,0.7620436549186707
laerm,laerm,0.5073150992393494
laerm,laerm,0.7428556680679321
laerm,laerm,0.33524447679519653
laerm,laerm,0.7404291033744812
laerm,laerm_vogel,0.4054780900478363
laerm,laerm,0.7263360619544983
laerm,laerm,0.6970528364181519
laerm,laerm,0.25805091857910156
laerm,vogel,0.23467908799648285
laerm,laerm,0.6951782703399658
laerm,laerm,0.6966495513916016
laerm,laerm,0.4938420355319977
laerm,laerm,0.6185227036476135
laerm,laerm,0.6188626885414124
laerm,laerm,0.4455954134464264
laerm,laerm,0.7162288427352905
laerm,laerm,0.506632924079895
laerm,laerm,0.6771841049194336
laerm,laerm,0.4675288200378418
laerm,laerm,0.6326615810394287
laerm,laerm,0.29915279150009155
laerm,laerm,0.39904850721359253
laerm,laerm,0.5786992311477661
laerm,laerm,0.6920351982116699
laerm,laerm,0.5502679347991943
laerm,laerm,0.7496774196624756
laerm,laerm,0.7509771585464478
laerm,laerm,0.5732082724571228
laerm,laerm,0.7117143273353577
laerm,laerm,0.6938057541847229
laerm,laerm,0.66189044713974
laerm,laerm,0.47907429933547974
laerm,laerm,0.6777513027191162
laerm,laerm,0.7419940233230591
laerm,laerm,0.5671572685241699
laerm,laerm,0.7065445184707642
laerm,laerm,0.7834571599960327
laerm,laerm,0.6452656984329224
laerm,laerm,0.37069785594940186
laerm,laerm,0.577725887298584
laerm,laerm,0.7216246724128723
laerm,laerm,0.6821378469467163
laerm,laerm,0.6886441707611084
laerm,laerm,0.6279240250587463
laerm,laerm,0.6770229339599609
laerm,laerm,0.6247497200965881
laerm,laerm,0.7015102505683899
laerm,laerm,0.6348308324813843
laerm,laerm,0.6435980200767517
laerm,laerm,0.670779824256897
laerm,laerm,0.7676832675933838
laerm,laerm,0.691883385181427
laerm,laerm,0.6605561971664429
laerm,laerm,0.6711490154266357
laerm,laerm,0.7488409280776978
laerm,laerm,0.5693395733833313
laerm,laerm,0.5812600255012512
laerm,laerm,0.2919441759586334
laerm,laerm,0.8239654898643494
laerm,laerm,0.757714569568634
laerm,laerm,0.6748103499412537
laerm,laerm,0.708702027797699
laerm,laerm,0.6381489038467407
laerm,laerm,0.7449213862419128
laerm,laerm,0.43230971693992615
laerm,laerm,0.7097406387329102
laerm,laerm,0.6602095365524292
laerm,laerm,0.6520073413848877
laerm,laerm,0.671339750289917
laerm,laerm,0.6484611630439758
laerm,laerm,0.9438114166259766
laerm,laerm,0.5940261483192444
laerm,laerm,0.6551011800765991
laerm,laerm,0.5748639702796936
laerm,laerm,0.5940266847610474
laerm,laerm,0.49085545539855957
laerm,laerm,0.721464216709137
laerm,laerm,0.6187697649002075
laerm,laerm,0.557438313961029
laerm,laerm,0.5123951435089111
laerm,laerm,0.6449759006500244
laerm,laerm,0.5702232718467712
laerm,laerm,0.6141452193260193
laerm,laerm,0.6298242807388306
laerm,laerm,0.6687760949134827
laerm,laerm,0.657270073890686
laerm,laerm,0.5009333491325378
laerm,vogel,0.4148896336555481
laerm,laerm,0.6176059246063232
laerm,stille,0.37636369466781616
laerm,laerm,0.4802345335483551
laerm,laerm,0.6730583310127258
laerm,laerm,0.6740902066230774
laerm,laerm,0.6327940821647644
laerm,laerm,0.5488733649253845
laerm,laerm,0.5162501335144043
laerm,laerm,0.29544273018836975
laerm,laerm,0.674901008605957
laerm,laerm,0.7107948660850525
laerm,laerm,0.6935266256332397
laerm,laerm,0.535925030708313
laerm,laerm,0.746168851852417
laerm,laerm,0.3762916028499603
laerm,laerm,0.6919701099395752
laerm,laerm,0.5393070578575134
laerm,laerm,0.5953084230422974
laerm,laerm,0.503795862197876
laerm,laerm,0.3494998812675476
laerm,laerm,0.870785653591156
laerm,laerm,0.6880798935890198
laerm,laerm,0.464675635099411
laerm,laerm,0.5350297689437866
laerm,laerm,0.5942843556404114
laerm,laerm,0.5975397825241089
laerm,laerm,0.6324954032897949
laerm,laerm,0.5971835255622864
laerm,vogel,0.29766157269477844
laerm,laerm,0.681986927986145
laerm,laerm,0.9017080664634705
laerm,laerm,0.4866228997707367
laerm,laerm,0.8113830089569092
laerm,laerm,0.6633428931236267
laerm,laerm,0.6493014693260193
laerm,laerm,0.7640411257743835
laerm,laerm,0.6536718010902405
laerm,laerm,0.770571231842041
laerm,laerm,0.6469117403030396
laerm,laerm,0.41721096634864807
laerm,laerm,0.6570486426353455
laerm,laerm,0.5994667410850525
laerm,laerm,0.6096790432929993
laerm,laerm,0.5679421424865723
laerm,laerm,0.41547778248786926
laerm,laerm,0.5321086645126343
laerm,laerm,0.6000722050666809
laerm,laerm,0.42667290568351746
laerm,laerm_vogel,0.3666047155857086
laerm,laerm,0.7268037796020508
laerm,laerm,0.7271815538406372
laerm,laerm,0.47443678975105286
laerm,laerm,0.6943164467811584
laerm,laerm,0.38085147738456726
laerm,laerm,0.6340872645378113
laerm,laerm,0.774864137172699
laerm,laerm,0.48916199803352356
laerm,laerm,0.7702416777610779
laerm,laerm,0.7453291416168213
laerm,laerm,0.6520603895187378
laerm,laerm,0.6551941633224487
laerm,laerm,0.7014376521110535
laerm,laerm,0.6059920787811279
laerm,laerm,0.7157154083251953
laerm,laerm,0.5978708267211914
laerm,laerm,0.7440185546875
laerm,laerm,0.4568765461444855
laerm,laerm,0.8381683230400085
