Filename,Actual Class,Predicted Class,Confidence
ls01_20230513_140000_s_17.wav,laerm,laerm,0.7787891626358032
ls01_20230515_061500_s_53.wav,laerm,laerm,0.4810760021209717
ls01_20230517_080000_s_24.wav,laerm,laerm,0.7495259046554565
ls01_20230517_104500_s_23.wav,laerm,laerm,0.6320136785507202
ls01_20230517_111500_s_37.wav,laerm,laerm,0.6918524503707886
ls01_20230518_061500_s_6.wav,laerm,laerm,0.5523406863212585
ls01_20230518_103000_s_7.wav,laerm,laerm,0.6952965259552002
ls01_20230518_110000_s_53.wav,laerm,laerm_vogel,0.37898319959640503
ls01_20230518_124500_s_13.wav,laerm,laerm,0.5678234696388245
ls01_20230518_141500_s_16.wav,laerm,laerm,0.7459911108016968
ls01_20230518_141500_s_20.wav,laerm,laerm,0.6875279545783997
ls01_20230522_103000_s_31.wav,laerm,laerm,0.6378312706947327
ls01_20230522_154500_s_9.wav,laerm,laerm,0.6317684650421143
ls01_20230524_050000_sample_28.wav,laerm,laerm,0.6482729315757751
ls01_20230525_113000_s_18.wav,laerm,laerm,0.4899236559867859
ls01_20230526_064500_s_39.wav,laerm,laerm,0.6578831672668457
ls01_20230526_080000_s_36.wav,laerm,laerm,0.7678897976875305
ls01_20230526_084500_s_13.wav,laerm,laerm,0.6373228430747986
ls01_20230526_124500_s_11.wav,laerm,laerm,0.5734679102897644
ls01_20230527_121500_s_19.wav,laerm,laerm,0.4696347415447235
ls01_20230528_133000_s_6.wav,laerm,laerm,0.47139865159988403
ls01_20230529_150000_s_27.wav,laerm,laerm,0.6207079887390137
ls01_20230529_150000_s_28.wav,laerm,laerm,0.5500288605690002
ls01_20230530_094500_s_13.wav,laerm,laerm,0.7131813764572144
ls01_20230531_133000_s_14.wav,laerm,laerm,0.4600526988506317
ls01_20230601_020000_s_53.wav,laerm,natur,0.6948891878128052
ls01_20230601_170000_s_49.wav,laerm,laerm,0.704774022102356
ls01_20230601_191500_s_26.wav,laerm,laerm,0.6984882950782776
ls01_20230602_133000_s_11.wav,laerm,laerm,0.43358543515205383
ls01_20230605_100000_s_51.wav,laerm,laerm,0.6972014307975769
ls01_20230606_064500_s_25.wav,laerm,laerm,0.5192111730575562
ls01_20230607_171500_s_21.wav,laerm,stille,0.8552590012550354
ls01_20230608_114500_s_30.wav,laerm,laerm,0.7907302975654602
ls01_20230611_133000_s_13.wav,laerm,laerm,0.688652753829956
ls01_20230611_174500_s_27.wav,laerm,laerm,0.5499467253684998
ls01_20230612_083000_s_10.wav,laerm,laerm,0.6326254606246948
ls01_20230613_124500_s_27.wav,laerm,laerm,0.7087904214859009
ls01_20230614_153000_s_0.wav,laerm,laerm,0.40638259053230286
ls01_20230617_064500_s_18.wav,laerm,laerm,0.7541098594665527
ls01_20230618_063000_s_24.wav,laerm,laerm,0.5862700939178467
ls01_20230619_053000_s_43.wav,laerm,laerm,0.8125708699226379
ls01_20230619_100000_s_31.wav,laerm,laerm,0.699727475643158
ls01_20230620_091500_s_9.wav,laerm,laerm,0.6527132391929626
ls01_20230623_054500_s_44.wav,laerm,laerm,0.6767000555992126
ls01_20230623_074500_s_11.wav,laerm,laerm,0.6209781169891357
ls01_20230623_144500_s_10.wav,laerm,laerm,0.7890383005142212
ls01_20230625_101500_s_28.wav,laerm,laerm_vogel,0.22962050139904022
ls01_20230625_113000_s_41.wav,laerm,laerm,0.6911513209342957
ls01_20230625_114500_s_52.wav,laerm,laerm,0.7665228247642517
ls01_20230625_124500_s_31.wav,laerm,laerm,0.6315971612930298
ls01_20230625_193000_s_20.wav,laerm,laerm,0.628476619720459
ls01_20230626_093000_s_49.wav,laerm,laerm,0.6097831726074219
ls01_20230626_100000_s_43.wav,laerm,laerm,0.736375093460083
ls01_20230627_053000_s_7.wav,laerm,laerm,0.5273087024688721
ls01_20230627_103000_s_3.wav,laerm,laerm,0.6414076089859009
ls01_20230627_143000_s_40.wav,laerm,laerm,0.7510737180709839
ls01_20230627_164500_s_30.wav,laerm,laerm,0.5824646949768066
ls01_20230628_071500_s_6.wav,laerm,laerm,0.783562183380127
ls01_20230628_160000_s_16.wav,laerm,laerm,0.525686502456665
ls01_20230701_080000_s_31.wav,laerm,laerm,0.4942268431186676
ls01_20230701_093000_s_54.wav,laerm,laerm,0.3851998448371887
ls01_20230703_094500_s_32.wav,laerm,laerm,0.5474225282669067
ls01_20230703_100000_s_30.wav,laerm,laerm,0.43946337699890137
ls01_20230703_133000_s_3.wav,laerm,laerm,0.6779436469078064
ls01_20230703_150000_s_29.wav,laerm,laerm,0.5643479228019714
ls01_20230704_083000_s_55.wav,laerm,laerm,0.7411180734634399
ls01_20230706_101500_s_49.wav,laerm,laerm,0.7812939882278442
ls01_20230707_114500_s_47.wav,laerm,laerm,0.5534021854400635
ls01_20230707_184500_s_1.wav,laerm,laerm,0.7191712856292725
ls01_20230708_140000_s_40.wav,laerm,laerm,0.5493742823600769
ls01_20230709_060000_s_54.wav,laerm,laerm,0.4081794321537018
ls01_20230709_071500_s_52.wav,laerm,laerm,0.8697671890258789
ls01_20230709_150000_s_41.wav,laerm,laerm,0.5739641189575195
ls01_20230709_153000_s_36.wav,laerm,laerm,0.571694016456604
ls01_20230709_200000_s_5.wav,laerm,stille,0.6508886218070984
ls01_20230710_104500_s_39.wav,laerm,laerm,0.5968764424324036
ls01_20230710_130000_s_53.wav,laerm,laerm,0.7329775094985962
ls01_20230710_141500_s_16.wav,laerm,laerm,0.6623978614807129
ls01_20230711_030000_s_53.wav,laerm,laerm,0.7822231650352478
ls01_20230711_113000_s_51.wav,laerm,laerm,0.5911712050437927
ls01_20230715_071500_s_34.wav,laerm,laerm,0.6651716828346252
ls01_20230715_081500_s_30.wav,laerm,laerm,0.8105696439743042
ls01_20230715_133000_s_36.wav,laerm,laerm,0.6326339840888977
ls01_20230717_050000_s_19.wav,laerm,laerm,0.6634601354598999
ls01_20230718_181500_s_3.wav,laerm,laerm,0.5779939889907837
ls01_20230720_130000_s_45.wav,laerm,laerm,0.6353110671043396
ls01_20230721_071500_s_33.wav,laerm,stille,0.6230903267860413
ls01_20230723_180000_s_44.wav,laerm,laerm,0.6473954916000366
ls01_20230725_131500_s_4.wav,laerm,laerm,0.7558321356773376
ls01_20230725_183000_s_50.wav,laerm,laerm,0.7402046918869019
ls01_20230727_143000_s_47.wav,laerm,laerm,0.6177301406860352
ls01_20230728_131500_s_25.wav,laerm,laerm,0.5785819292068481
ls01_20230729_070000_s_12.wav,laerm,laerm,0.5352644920349121
ls01_20230729_084500_s_18.wav,laerm,laerm_vogel,0.5293790102005005
ls01_20230730_184500_s_19.wav,laerm,laerm,0.736149787902832
ls01_20230801_140000_s_11.wav,laerm,laerm,0.6361714005470276
ls01_20230801_181500_s_32.wav,laerm,laerm,0.41134634613990784
ls01_20230802_151500_s_15.wav,laerm,laerm,0.6942126154899597
ls01_20230804_143000_s_48.wav,laerm,laerm,0.6147559285163879
ls01_20230805_154500_s_54.wav,laerm,laerm,0.6963281035423279
ls01_20230807_080000_s_49.wav,laerm,laerm,0.4622083306312561
ls01_20230808_134500_s_44.wav,laerm,laerm,0.6293615698814392
ls01_20230808_144500_s_21.wav,laerm,laerm,0.7003136873245239
ls01_20230809_074500_s_56.wav,laerm,laerm,0.6429548859596252
ls01_20230810_064500_s_45.wav,laerm,stille,0.46224072575569153
ls01_20230810_214500_s_39.wav,laerm,laerm,0.6124178767204285
ls01_20230813_164500_s_20.wav,laerm,laerm,0.7324627637863159
ls01_20230813_170000_s_6.wav,laerm,laerm,0.6499069929122925
ls01_20230814_114500_s_42.wav,laerm,laerm,0.6740791201591492
ls01_20230815_104500_s_38.wav,laerm,laerm,0.644883930683136
ls02_20230513_131500_s_47.wav,laerm,vogel,0.47071465849876404
ls02_20230517_141500_s_34.wav,laerm,laerm,0.5741127133369446
ls02_20230517_150000_s_5.wav,laerm,laerm,0.617093026638031
ls02_20230521_093000_s_13.wav,laerm,laerm,0.4425865411758423
ls02_20230523_093000_s_42.wav,laerm,laerm,0.3538374900817871
ls02_20230525_083000_s_32.wav,laerm,laerm,0.5203886032104492
ls02_20230527_194500_s_35.wav,laerm,laerm,0.7015902400016785
ls02_20230528_174500_s_3.wav,laerm,laerm_vogel,0.43942633271217346
ls02_20230529_150000_s_26.wav,laerm,laerm,0.728623628616333
ls02_20230530_134500_s_37.wav,laerm,laerm,0.7459089159965515
ls02_20230531_120000_s_51.wav,laerm,laerm,0.6104534864425659
ls02_20230531_223000_s_15.wav,laerm,laerm,0.5288375020027161
ls02_20230603_104500_s_12.wav,laerm,laerm,0.6694868206977844
ls02_20230606_161500_s_42.wav,laerm,stille,0.6964612007141113
ls02_20230607_070000_s_54.wav,laerm,laerm,0.6516721248626709
ls02_20230608_133000_s_40.wav,laerm,laerm,0.4987599551677704
ls02_20230609_161500_s_17.wav,laerm,laerm,0.48434704542160034
ls02_20230610_083000_s_34.wav,laerm,laerm,0.7806136012077332
ls02_20230611_104500_s_30.wav,laerm,laerm,0.7255116105079651
ls02_20230611_124500_s_52.wav,laerm,laerm,0.7778967022895813
ls02_20230612_120000_s_4.wav,laerm,laerm,0.6488680839538574
