Actual Class,Predicted Class,Confidence
laerm,laerm,0.9935383200645447
laerm,laerm,0.9990371465682983
laerm,laerm,0.9940205216407776
laerm,laerm,0.9978063702583313
laerm,laerm,0.9941815733909607
laerm,laerm,0.9948780536651611
laerm,laerm,0.9938442707061768
laerm,laerm,0.9967545866966248
laerm,laerm,0.9933760762214661
laerm,laerm,0.9985795021057129
laerm,laerm,0.9977784752845764
laerm,laerm,0.9920614957809448
laerm,laerm,0.9902257323265076
laerm,laerm,0.9944065809249878
laerm,laerm,0.9848323464393616
laerm,laerm,0.9962989687919617
laerm,laerm,0.9973657727241516
laerm,laerm,0.9945999383926392
laerm,laerm,0.993314802646637
laerm,vogel,0.9289382696151733
laerm,laerm,0.992300271987915
laerm,laerm,0.9950749278068542
laerm,laerm,0.9976916313171387
laerm,laerm,0.9923999309539795
laerm,laerm,0.9951474070549011
laerm,laerm,0.9980455636978149
laerm,laerm,0.9930603504180908
laerm,laerm,0.9945456981658936
laerm,laerm,0.9936803579330444
laerm,laerm,0.9979464411735535
laerm,laerm,0.9968609809875488
laerm,laerm,0.9971617460250854
laerm,laerm,0.9928455948829651
laerm,laerm,0.9800808429718018
laerm,laerm,0.9944603443145752
laerm,laerm,0.9976072311401367
laerm,laerm,0.9973722696304321
laerm,laerm,0.996026873588562
laerm,laerm,0.9946573376655579
laerm,laerm,0.9971176385879517
laerm,laerm,0.9974426031112671
laerm,laerm,0.993863582611084
laerm,laerm,0.9939833283424377
laerm,laerm,0.7225995063781738
laerm,laerm,0.991851270198822
laerm,laerm,0.988528311252594
laerm,laerm,0.9984045624732971
laerm,laerm,0.996410071849823
laerm,laerm,0.9981659054756165
laerm,laerm,0.9892438650131226
laerm,laerm,0.9939650893211365
laerm,laerm,0.9966656565666199
laerm,laerm,0.9956496357917786
laerm,laerm,0.9987456798553467
laerm,laerm,0.9050459265708923
laerm,laerm,0.9961129426956177
laerm,laerm,0.9938175082206726
laerm,laerm,0.9955612421035767
laerm,laerm,0.9923880100250244
laerm,laerm,0.9981788396835327
laerm,laerm,0.9885510802268982
laerm,laerm,0.9951865077018738
laerm,laerm,0.9962789416313171
laerm,laerm,0.9910105466842651
laerm,laerm,0.9938196539878845
laerm,laerm,0.9933704137802124
laerm,laerm,0.9981452226638794
laerm,laerm,0.9956833124160767
laerm,laerm,0.9983319640159607
laerm,laerm,0.9933566451072693
laerm,laerm,0.9956898093223572
laerm,laerm,0.9975184202194214
laerm,laerm,0.9406279921531677
laerm,laerm,0.996590256690979
laerm,laerm,0.993561863899231
laerm,laerm,0.9969417452812195
laerm,laerm,0.9991303086280823
laerm,laerm,0.9963105320930481
laerm,laerm,0.9970935583114624
laerm,laerm,0.9966664910316467
laerm,laerm,0.9886190891265869
laerm,laerm,0.9911766052246094
laerm,laerm,0.9934237003326416
laerm,laerm,0.9980904459953308
laerm,laerm,0.9963253140449524
laerm,laerm,0.995559573173523
laerm,laerm,0.9954002499580383
laerm,laerm,0.9963142275810242
laerm,laerm,0.9079837799072266
laerm,laerm,0.9967963099479675
laerm,laerm,0.9918599724769592
laerm,laerm,0.9954276084899902
laerm,laerm,0.9957587122917175
laerm,laerm,0.9962117671966553
laerm,laerm,0.9964313507080078
laerm,laerm,0.9989225268363953
laerm,laerm,0.9966925382614136
laerm,laerm,0.9951653480529785
laerm,laerm,0.996207594871521
laerm,laerm,0.9928454756736755
laerm,laerm,0.8822054266929626
laerm,laerm,0.9964314699172974
laerm,laerm,0.9954681396484375
laerm,laerm,0.9638904929161072
laerm,laerm,0.9971244931221008
laerm,laerm,0.9944164752960205
laerm,laerm,0.9981075525283813
laerm,laerm,0.9980022311210632
laerm,laerm,0.9966797828674316
laerm,laerm,0.9963809847831726
laerm,laerm,0.9984024167060852
laerm,laerm,0.9961172342300415
laerm,laerm,0.9950345754623413
laerm,laerm,0.9960891008377075
laerm,laerm,0.9982909560203552
laerm,laerm,0.9944741129875183
laerm,laerm,0.9974319338798523
laerm,laerm,0.9932183623313904
laerm,laerm,0.9946308135986328
laerm,laerm,0.9973323345184326
laerm,laerm,0.9967913031578064
laerm,laerm,0.9951760768890381
laerm,laerm,0.9954256415367126
laerm,laerm,0.9990413784980774
laerm,laerm,0.9947562217712402
laerm,laerm,0.9979398846626282
laerm,laerm,0.9998970031738281
laerm,laerm,0.9709798097610474
laerm,laerm,0.984720766544342
laerm,laerm,0.9935656189918518
laerm,laerm,0.9956888556480408
laerm,laerm,0.6934026479721069
laerm,laerm,0.9946603178977966
