Filename,Seconds,From_To,Predicted Class,Confidence
ls06_20230513_093000.WAV,0.0,0.0-3.0,0,0.6010577082633972
ls06_20230513_093000.WAV,1.0,1.0-4.0,0,0.7113668918609619
ls06_20230513_093000.WAV,2.0,2.0-5.0,1,0.9819294810295105
ls06_20230513_093000.WAV,3.0,3.0-6.0,1,0.981515645980835
ls06_20230513_093000.WAV,4.0,4.0-7.0,1,0.9494997262954712
ls06_20230513_093000.WAV,5.0,5.0-8.0,1,0.5682506561279297
ls06_20230513_093000.WAV,6.0,6.0-9.0,0,0.9150582551956177
ls06_20230513_093000.WAV,7.0,7.0-10.0,0,0.8495737314224243
ls06_20230513_093000.WAV,8.0,8.0-11.0,0,0.8475503921508789
ls06_20230513_093000.WAV,9.0,9.0-12.0,1,0.9045185446739197
ls06_20230513_093000.WAV,10.0,10.0-13.0,1,0.7420265078544617
ls06_20230513_093000.WAV,11.0,11.0-14.0,0,0.8570935726165771
ls06_20230513_093000.WAV,12.0,12.0-15.0,1,0.6870430707931519
ls06_20230513_093000.WAV,13.0,13.0-16.0,1,0.9338117837905884
ls06_20230513_093000.WAV,14.0,14.0-17.0,1,0.9577590227127075
ls06_20230513_093000.WAV,15.0,15.0-18.0,1,0.9681295156478882
ls06_20230513_093000.WAV,16.0,16.0-19.0,1,0.6454431414604187
ls06_20230513_093000.WAV,17.0,17.0-20.0,1,0.9984180927276611
ls06_20230513_093000.WAV,18.0,18.0-21.0,1,0.9992044568061829
ls06_20230513_093000.WAV,19.0,19.0-22.0,1,0.9968131184577942
ls06_20230513_093000.WAV,20.0,20.0-23.0,1,0.999196469783783
ls06_20230513_093000.WAV,21.0,21.0-24.0,1,0.9999184608459473
ls06_20230513_093000.WAV,22.0,22.0-25.0,1,0.9999707937240601
ls06_20230513_093000.WAV,23.0,23.0-26.0,1,0.9999743700027466
ls06_20230513_093000.WAV,24.0,24.0-27.0,1,0.9999748468399048
ls06_20230513_093000.WAV,25.0,25.0-28.0,1,0.999809205532074
ls06_20230513_093000.WAV,26.0,26.0-29.0,1,0.9999508857727051
ls06_20230513_093000.WAV,27.0,27.0-30.0,1,0.9999306201934814
ls06_20230513_093000.WAV,28.0,28.0-31.0,1,0.9999551773071289
ls06_20230513_093000.WAV,29.0,29.0-32.0,1,0.9943919777870178
ls06_20230513_093000.WAV,30.0,30.0-33.0,1,0.9999697208404541
ls06_20230513_093000.WAV,31.0,31.0-34.0,1,0.9999839067459106
ls06_20230513_093000.WAV,32.0,32.0-35.0,1,0.9999878406524658
ls06_20230513_093000.WAV,33.0,33.0-36.0,1,0.9786495566368103
ls06_20230513_093000.WAV,34.0,34.0-37.0,1,0.9998764991760254
ls06_20230513_093000.WAV,35.0,35.0-38.0,1,0.9998201727867126
ls06_20230513_093000.WAV,36.0,36.0-39.0,1,0.9997618794441223
ls06_20230513_093000.WAV,37.0,37.0-40.0,1,0.9993234872817993
ls06_20230513_093000.WAV,38.0,38.0-41.0,1,0.9997537732124329
ls06_20230513_093000.WAV,39.0,39.0-42.0,1,0.9999513626098633
ls06_20230513_093000.WAV,40.0,40.0-43.0,1,0.9999384880065918
ls06_20230513_093000.WAV,41.0,41.0-44.0,1,0.9999715089797974
ls06_20230513_093000.WAV,42.0,42.0-45.0,0,0.9246247410774231
ls06_20230513_093000.WAV,43.0,43.0-46.0,1,0.995717465877533
ls06_20230513_093000.WAV,44.0,44.0-47.0,1,0.9998569488525391
ls06_20230513_093000.WAV,45.0,45.0-48.0,1,0.9997721314430237
ls06_20230513_093000.WAV,46.0,46.0-49.0,1,0.9998561143875122
ls06_20230513_093000.WAV,47.0,47.0-50.0,1,0.8290066719055176
ls06_20230513_093000.WAV,48.0,48.0-51.0,0,0.7923119068145752
ls06_20230513_093000.WAV,49.0,49.0-52.0,0,0.8983888626098633
ls06_20230513_093000.WAV,50.0,50.0-53.0,0,0.976869523525238
ls06_20230513_093000.WAV,51.0,51.0-54.0,0,0.969203770160675
ls06_20230513_093000.WAV,52.0,52.0-55.0,0,0.9273297190666199
ls06_20230513_093000.WAV,53.0,53.0-56.0,0,0.9356668591499329
ls06_20230513_093000.WAV,54.0,54.0-57.0,0,0.723364531993866
ls06_20230513_093000.WAV,55.0,55.0-58.0,0,0.9323411583900452
ls06_20230513_093000.WAV,56.0,56.0-59.0,0,0.9148375988006592
ls06_20230513_093000.WAV,57.0,57.0-60.0,0,0.8834296464920044
